ItemID,Name,Processor,RAM GB,Hard Drive,Graphics,Brand,Item Weight,Processor Brand,Memory Type,Hard Drive Interface,Sellers Rank,Date First Available,Rating,Price,Error
2506,HP 1JZ87AWABA ProDesk 600 G3 MT Desktop Computer,3.4 GHz Intel Core i5,8,256 GB Flash Memory Solid State,Intel HD Graphics 630,HP,2.67 pounds,Intel,,,"8,050",3-Jan-18,"Be the first to review this item  
0.0",563.29,
2507,"Dell 6Y9TM OptiPlex 3050 Small Form Factor Desktop Computer, Intel Core i5-7500, 8GB DDR4, 500GB Hard Drive, Windows 10 Pro",Intel Core i5-7500 Processor,8,500 GB Mechanical Hard Drive,Intel Integrated Graphics,Dell,14.1 lbs,Intel,,Serial ATA,"5,255",11-Feb-17,4.1,699,
2508,"2018 Dell Inspiron Desktop Computer, Intel Quad-Core i7-7700 up to 4.20GHz, 16GB DDR4 RAM, 128GB SSD + 1TB 7200rpm HDD, DVDRW, WiFi, GeForce GTX 1050 2GB, Mouse & Keyboard, Windows 10 Professional",Intel Core i7,16,1 TB Hybrid Drive,NVIDIA GeForce GTX 1050 2GB GDDR5,Dell,17.5 lbs,Intel,DDR4 SDRAM,"Serial ATA, Solid State","18,309",1-May-16,5,929,
2509,"iBUYPOWER Elite Gaming PC Computer Desktop Trace 065i (Intel i5-9400F 2.9GHz, NVIDIA GeForce RTX 2060 6GB, 16GB DDR4-2666 RAM, 1TB HDD, 240GB SSD, WiFi Included, Win 10 Home, VR Ready), Black",Core i5 Family,16,1 TB Mechanical Hard Drive,NVIDIA GeForce RTX 2060,iBUYPOWER,34 pounds,Intel,,Serial ATA,"11,025",15-Jan-19,5,"1,099.99",
2510,"HP Pavilion Desktop Computer, AMD Ryzen 7 1700, 12GB RAM, 1TB Hard Drive, Windows 10 (590-p0060, Silver)",Ryzen 7 1700,12,1000 GB Mechanical Hard Drive,AMD Radeon RX 550,HP,11 lbs,AMD,GDDR5,Serial ATA,"37,508",10-May-18,4,650.38,
2511,Optiplex Quad Core i7-2600 3.4GHz CPU Windows 10 Pro 16GB RAM/New 1TB Hard Drive/WiFi/Desktop PC Computer System + MS Office,Core i7-2600,16,1 TB,—,Quality Refurbished Computers,—,Intel,DDR3 SDRAM,ATA,"9,942",26-Aug-17,"Be the first to review this item  
0.0",599.95,
2512,"HP Pavilion VR Ready Gaming Desktop Computer, AMD Ryzen 5 2400G up to 3.9GHz, 16GB DDR4, AMD Radeon RX 580, 1TB HDD + 128GB SSD (Boot), DVD-RW, USB 3.1, HDMI, Wireless-AC, Bluetooth 4.2, Windows 10",AMD R Series,16,1 TB HDD 7200 rpm + 128GB SSD (boot),AMD Radeon RX 580 Graphics,HP,—,AMD,DDR3 SDRAM,Serial ATA,"16,778",28-Jan-19,"Be the first to review this item  
0.0",779,
2513,"Dell OptiPlex 5260 1920 x 1080 All-in-One Desktop Computer with Intel Core i5-8500 3 GHz Hexa-Core, 4GB RAM, 500GB HDD, 21.5"" (TPM20)",8032,4,500 GB Mechanical Hard Drive,Integrated Graphics,Dell,11.75 lbs,Intel,,Serial ATA,"24,942",28-Jun-18,"Be the first to review this item  
0.0",828.99,
2514,"Blair Technology Group Elite 7900 Desktop PC, Intel Core 2 Duo Processor, 8GB RAM, 500GB Hard Drive, DVD-RW, Wi-Fi, Keyboard & Mouse, Windows 10 Pro (Prepared by BTG)",Core 2 Duo E8400,8,500 GB HDD 7200 rpm,—,HP,—,Intel,DDR2 SDRAM,Serial ATA,"11,931",10-Oct-18,"Be the first to review this item  
0.0",149.99,
2515,"2019 DELL Optiplex 990 Customizable Workstation, Intel CoreI5-2500 up to 3.7G,Up to 16G RAM,Up to 2T SATA HDD,Optional SSD,Peripherals,VGA,DP,DVD,Win 10 64 bit-Multi-Language(Certified Refurbished)",Core i5-2500,4,250 GB,—,Dell,—,Intel,DDR3 SDRAM,Serial ATA,"17,560",2-Apr-19,"Be the first to review this item  
0.0",129.98,
2516,"2019 Latest HP OMEN 880 Gaming PC (Customize up to Intel i9-9900K Liquid Cooled CPU, NVIDIA GTX 2080 Ti, 2TB PCIe SSD, 32TB HDD, 64GB RAM) 750 Watt Platinum PSU & Windows 10 Home Best VR Ready Desktop",Intel Core i7,8,256 GB SSD,NVIDIA GeForce GTX,Eluktronics,—,Intel,DIMM,Solid State,"5,178",23-Feb-18,5,"1,849.95",
2517,"OMEN by HP Gaming Desktop Computer, Intel Core i7-9700K Processor, NVIDIA GeForce RTX 2080 Ti 11 GB, HyperX 16 GB RAM, 2 TB hard drive, 512 GB SSD, Windows 10 Home (880-191, Black)",—,16,2000 GB Hybrid Drive,NVIDIA GeForce RTX 2080 Ti,HP,38 lbs,Intel,,Serial ATA,"7,872",10-Dec-18,4.3,"2,583.84",
2518,"Dell Inspiron 5680 Gaming Desktop - 8th Gen. Intel Core i7-8700 6-Core up to 4.60 GHz, 16GB DDR4 Memory, 256GB SSD + 1TB SATA Hard Drive, 8GB Nvidia GeForce GTX 1070, Windows 10 Pro, Recon Blue",Intel Core i7,16,1256 GB SSD + HDD 7200 rpm,NVIDIA GeForce GTX 1070,Dell,30.27 lbs,Intel,DDR SDRAM,Serial ATA,"26,092",16-May-18,5,"1,589.00",
2519,"2018 HP Slim High Performance Desktop Tower PC Keyboard&Mouse 21.5"" Monitor Bundle Intel Pentium G4560T Processr 4GB RAM 1TB HDD DVD-RW 802.11AC USB 3.0 Windows 10",Pentium,4,1000 GB mechanical_hard_drive,—,HP,20 lbs,Intel,GDDR4,Serial ATA,"7,891",25-Oct-18,3.3,382.78,
2520,"HP Pavilion Gaming Desktop Computer, AMD Ryzen 5 2400G, AMD Radeon RX 580, 16GB RAM, 128GB SSD, 1TB Hard Drive, Windows 10",AMD R Series,16,1 TB Hybrid,AMD Radeon RX 580,HP,—,AMD,DIMM,Serial ATA,"38,288",28-Jan-19,"Be the first to review this item  
0.0",799,
2521,"Dell OP5060SFFRDR97 OptiPlex 5060 SFF Desktop Computer with Intel Core i5-8500 3 GHz Hexa-core, 8GB RAM, 500GB HDD",Intel Core i5,8,500 GB Mechanical Hard Drive,Integrated Graphics,Dell,11.57 lbs,Intel,,Serial ATA,"13,255",14-Jun-18,"Be the first to review this item  
0.0",754.99,
2522,SFF Desktop PC Optiplex Intel i5-Quad Core 3.1GHz CPU 8GB DDR3 RAM New 1TB HDD Windows 10 Pro + MS Office WiFi DVD-RW,Intel Core i5,8,1 TB mechanical_hard_drive,—,Quality Refurbished Computers,—,Intel,DDR3 SDRAM,ATA,"279,051",22-Nov-16,"Be the first to review this item  
0.0",449.95,
2523,"Dell XPS 8930 Tower Desktop - 8th Gen. Intel Core i7-8700 6-Core up to 4.60 GHz, 32GB DDR4 Memory, 1TB SSD + 3TB SATA Hard Drive, 4GB Nvidia GeForce GTX 1050Ti, DVD Burner, Windows 10, Black",Core i7 8700,32,4000 GB SSD + HDD 7200 rpm,NVIDIA GeForce GTX,Dell,22 lbs,Intel,DDR SDRAM,Solid State,"9,947",16-Nov-17,2.8,"1,368.90",
2524,Custom 18X-Core Liquid Cooled Workstation Desktop PC Intel Core i9 9980XE 3.0Ghz 128Gb DDR4 8TB HDD 1TB NVMe 3400MB/s SSD 1000W Toughpower PSU Nvidia RTX R070 8Gb,Core i9,128,9 TB flash_memory_solid_state,NVIDIA GeForce RTX 2070,Adamant Computers,—,Intel,SDRAM,Serial ATA-600,,21-Dec-17,"Be the first to review this item  
0.0","5,949.99",
2525,Custom Gaming Tower Intel Quad Core i7 3.4GHz Windows 10 Pro / 24GB RAM/New 1TB HDD/WiFi/Desktop Computer PC + 1GB HDMI NVIDIA,Core i7-2600,24,1 TB mechanical_hard_drive,—,Quality Refurbished Computers,—,Intel,DDR3 SDRAM,ATA,"105,842",30-Aug-17,4.5,639.95,
2526,"Newest Flagship 2019 HP Pavilion VR Gaming Desktop Computer, AMD Quad-Core Ryzen 5 2400G Radeon RX580 8GB/16GB/32GB RAM 256GB/512GB/1TB SSD 2TB HDD DVDRW HDMI WiFi Bluetooth Keyboard & Mouse Win 10",AMD E Series,16,1 TB HDD,AMD Radeon RX 580,HP,11.4 lbs,AMD,DDR4 SDRAM,Serial ATA,"8,024",3-Feb-19,4.6,649.88,
2527,"2019 Acer Aspire T TC-865 Desktop Intel 6-Core i5-8400 2.80 GHz,8GB/16GB/32GB DDR4 Memory,1TB/2TB SATA 7200 RPM HDD, Intel UHD Graphics 630, 802.11ac,VGA,HDMI,Bluetooth 5.0, DVD±RW,Windows 10 Home",Intel Core i5,8,1 TB,Intel UHD Graphics 630,Acer,17.2 lbs,Intel,GDDR4,Serial ATA-300,"36,048",28-Nov-18,"Be the first to review this item  
0.0",419,
2528,"Dell XPS 8930 Tower Desktop - 8th Gen. Intel Core i7-8700 6-Core up to 4.60 GHz, 32GB DDR4 Memory, 1TB SSD + 3TB SATA Hard Drive, 4GB Nvidia GeForce GTX 1050Ti, DVD Burner, Windows 10, Black",Core i7 8700,32,4000 GB SSD + HDD 7200 rpm,NVIDIA GeForce GTX,Dell,22 lbs,Intel,DDR SDRAM,Solid State,"9,947",16-Nov-17,2.8,"1,368.90",
2529,"2019 HP Pavilion Gaming Desktop | AMD 2nd Gen Ryzen 5 | AMD Radeon RX 580 | WiFi | USB-C | DVD-RW | GbE LAN | Windows 10 | Include Mouse and Keyboard | Up to 32GB DDR4 Memory, 1TB SSD Boot + 2TB HDD",AMD E Series,16,1 TB HDD,AMD Radeon RX 580,HP,11.4 lbs,AMD,DDR4 SDRAM,Serial ATA,"22,780",3-Feb-19,5,649.88,
2530,"HP Elite Desktop Computer, Intel Core i5 3.2 GHz, 8 GB RAM, 500 GB HDD, Keyboard & Mouse, Wi-Fi, 19"" LCD Monitor (Brands Vary), DVD-ROM, Windows 10, (Upgrades Available) (Renewed)",Core i5-650,8,500 GB HDD 7200 rpm,—,HP,—,Intel,DDR3 SDRAM,Serial ATA,"43,108",2-Apr-19,"Be the first to review this item  
0.0",214.99,
2531,"OMEN by HP Obelisk Gaming Desktop Computer, Intel Core i5-8400 Processor, NVIDIA GeForce GTX 1060 6 GB, HyperX 8 GB RAM, 256 GB SSD, VR Ready, Windows 10 Home (875-0020, Black)",8032,8,Flash Memory Solid State,NVIDIA GeForce GTX 1060,HP,23 lbs,Intel,GDDR5,PC Card,"16,380",15-Oct-18,5,"1,098.39",
2532,"HP Pavilion 570-p047c Intel Core i7-7700, 16GB, 2TB HDD, NVIDIA 2GB, Win 10 PC",Intel Core i7,16,2 TB HDD 7200 rpm,NVIDIA GeForce GT 730,HP,—,Intel,SDRAM,eSATA,"20,958",16-Oct-17,1.4,619.88,
2533,"Oemgenuine Lenovo ThinkCentre M715 Tiny M715q AMD Ryzen 5 Pro 2400GE, 16GB RAM, 1TB SSD, W10P, Business Desktop, 3 YR WTY < Additional Memory and Storage Options Below >",Unknown,16,1 TB SSD,AMD Radeon RX Vega 11,Oemgenuine,2.9 lbs,AMD,SODIMM,Solid State,"14,751",1-Mar-18,3.9,779.95,
2534,Flagship 2019 Dell Inspiron 3000 3670 Business Desktop Computer- Intel 6-Core i5-8400 >i7-7700 8GB/16GB RAM 128GB to 1TB SSD 2TB HDD DVDRW Bluetooth HDMI WLAN MaxxAudio Media-Card Reader Win 10 Pro,Intel Core i5,4,1 TB HDD 5400 rpm,Intel HD Graphics 630,Dell,14.1 lbs,Intel,DDR SDRAM,Serial ATA,"3,606",17-Mar-19,"Be the first to review this item  
0.0",599,
